Target,e-learning process,UEY,Major,Interested,Courses
200,1,2016,3,16,26
200,1,2016,3,18,22
300,1,2016,3,18,29
200,1,2017,3,14,26
100,1,2016,7,14,23
200,1,2017,9,20,26
200,1,2021,9,16,22
300,1,2021,4,18,29
200,1,2018,9,13,22
200,1,2016,9,13,22
200,1,2016,9,14,22
200,1,2021,9,11,22
100,1,2017,7,11,23
300,1,2017,7,11,30
100,1,2017,7,16,23
300,1,2017,7,16,30
100,1,2014,9,13,23
100,1,2014,9,14,23
200,1,2021,9,13,22
200,1,2017,9,11,26
200,1,2016,3,14,26
300,1,2016,3,14,30
300,1,2021,4,18,29
400,1,2016,5,19,28
400,1,2016,5,19,32
200,1,2017,3,14,22
300,1,2017,3,14,30
300,1,2017,4,18,29
300,1,2017,4,18,30
300,1,2018,4,18,30
200,1,2014,2,11,22
100,1,2014,2,11,27
400,1,2014,2,11,28
200,1,2014,2,12,22
300,1,2021,4,18,29
400,1,2014,2,12,28
200,1,2014,2,17,22
100,1,2014,2,17,27
400,1,2014,2,17,28
300,1,2021,4,18,29
200,1,2020,4,17,22
300,1,2020,4,17,30
200,1,2014,6,11,22
300,1,2021,4,18,29
200,1,2020,3,11,22
100,1,2020,3,17,24
300,1,2021,4,18,29
200,1,2021,3,14,22
300,1,2018,3,18,29
200,1,2021,3,13,22
400,1,2020,9,15,28
200,1,2020,3,14,22
200,1,2020,3,14,26
100,1,2018,2,11,21
200,1,2018,2,11,22
200,1,2018,2,11,26
100,1,2018,2,12,21
200,1,2018,2,12,22
200,1,2018,2,12,26
300,1,2021,4,18,29
200,1,2018,2,13,22
200,1,2018,2,13,26
100,1,2018,2,14,21
200,1,2018,2,14,22
200,1,2018,2,14,26
100,1,2018,2,16,21
200,1,2018,2,16,22
200,1,2018,2,16,26
100,1,2018,2,17,21
300,1,2021,4,18,29
200,1,2018,2,17,26
